id,district,count
1,Lagoa Nova,1
2,Lagoa Seca,5
0,Lagoa Nova,5
1,Lagoa Seca,27
0,,10
1,Lagoa Nova,3
2,Lagoa Seca,19
0,,32
0,,1
1,Lagoa Nova,4
2,Lagoa Seca,26
3,Redinha,1
0,,3
1,Lagoa Nova,3
2,Lagoa Seca,25
3,Redinha,1
0,,32
0,,9
1,Lagoa Nova,3
2,Lagoa Seca,19
3,Redinha,1
0,Barro Vermelho,1
1,Lagoa Nova,1
2,Lagoa Seca,30
0,,27
1,Lagoa Nova,1
2,Lagoa Seca,4
0,,17
1,Lagoa Nova,1
2,Lagoa Seca,14
0,Barro Vermelho,2
1,Lagoa Nova,3
2,Lagoa Seca,27
0,,19
1,Lagoa Seca,13
0,,32
0,Barro Vermelho,2
1,Lagoa Nova,5
2,Lagoa Seca,24
3,Santos Reis,1
0,,4
1,Lagoa Nova,3
2,Lagoa Seca,24
3,Santos Reis,1
0,,32
0,,10
1,Lagoa Nova,3
2,Lagoa Seca,19
0,Barro Vermelho,1
1,Lagoa Nova,3
2,Lagoa Seca,26
3,Santos Reis,2
0,,26
1,Lagoa Nova,2
2,Lagoa Seca,4
0,,23
1,Lagoa Nova,1
2,Lagoa Seca,8
0,,17
1,Lagoa Nova,3
2,Lagoa Seca,12
0,,32
0,,32
0,,22
1,Lagoa Nova,1
2,Lagoa Seca,9
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,32
0,,31
1,Cidade Alta,1
0,,31
1,Ribeira,1
0,,21
1,Barro Vermelho,2
2,Cidade Alta,1
3,Ribeira,8
0,Barro Vermelho,10
1,Cidade Alta,3
2,Ribeira,15
3,Tirol,4
0,,15
1,Barro Vermelho,7
2,Cidade Alta,1
3,Ribeira,9
0,,27
1,Barro Vermelho,3
2,Ribeira,2
0,Barro Vermelho,12
1,Cidade Alta,2
2,Lagoa Nova,3
3,Ribeira,14
4,Santos Reis,1
0,,9
1,Barro Vermelho,2
2,Cidade Alta,2
3,Lagoa Nova,1
4,Ribeira,14
5,Santos Reis,1
6,Tirol,3
0,,31
1,Ribeira,1
0,Barro Vermelho,9
1,Cidade Alta,3
2,Ribeira,19
3,Tirol,1
0,,5
1,Barro Vermelho,13
2,Cidade Alta,4
3,Lagoa Nova,1
4,Ribeira,7
5,Tirol,2
0,,31
1,Ribeira,1
0,Barro Vermelho,17
1,Cidade Alta,6
2,Lagoa Nova,2
3,Ribeira,4
4,Tirol,3
0,,5
1,Barro Vermelho,18
2,Cidade Alta,4
3,Lagoa Nova,2
4,Ribeira,2
5,Tirol,1
0,,32
0,,3
1,Barro Vermelho,18
2,Cidade Alta,5
3,Ribeira,4
4,Tirol,2
0,,1
1,Barro Vermelho,13
2,Cidade Alta,8
3,Lagoa Nova,1
4,Ribeira,6
5,Tirol,3
0,,32
0,,12
1,Barro Vermelho,12
2,Cidade Alta,4
3,Lagoa Nova,1
4,Ribeira,2
5,Tirol,1
0,Barro Vermelho,13
1,Cidade Alta,7
2,Lagoa Nova,5
3,Ribeira,3
4,Santos Reis,1
5,Tirol,3
0,,24
1,Barro Vermelho,3
2,Cidade Alta,3
3,Ribeira,1
4,Tirol,1
0,,19
1,Barro Vermelho,3
2,Cidade Alta,4
3,Ribeira,4
4,Tirol,2
0,Barro Vermelho,16
1,Cidade Alta,7
2,Lagoa Nova,2
3,Ribeira,6
4,Tirol,1
0,,17
1,Barro Vermelho,8
2,Cidade Alta,4
3,Lagoa Nova,1
4,Tirol,2
0,,27
1,Barro Vermelho,3
2,Cidade Alta,1
3,Tirol,1
0,Barro Vermelho,15
1,Cidade Alta,8
2,Ribeira,3
3,Tirol,6
0,,9
1,Barro Vermelho,11
2,Cidade Alta,4
3,Lagoa Nova,1
4,Ribeira,2
5,Tirol,5
0,,32
0,Barro Vermelho,15
1,Cidade Alta,3
2,Lagoa Nova,2
3,Ribeira,5
4,Santos Reis,1
5,Tirol,6
0,,4
1,Barro Vermelho,9
2,Cidade Alta,4
3,Lagoa Nova,2
4,Ribeira,3
5,Tirol,10
0,,32
0,,10
1,Barro Vermelho,10
2,Cidade Alta,2
3,Lagoa Nova,1
4,Ribeira,4
5,Santos Reis,2
6,Tirol,3
0,Barro Vermelho,12
1,Cidade Alta,4
2,Lagoa Nova,2
3,Ribeira,6
4,Tirol,8
0,,26
1,Barro Vermelho,1
2,Cidade Alta,1
3,Ribeira,2
4,Tirol,2
0,,21
1,Barro Vermelho,5
2,Cidade Alta,2
3,Lagoa Nova,1
4,Ribeira,2
5,Tirol,1
0,Barro Vermelho,9
1,Cidade Alta,5
2,Lagoa Nova,1
3,Ribeira,2
4,Santos Reis,1
5,Tirol,14
0,,15
